question,answer
انا فتاة عمري 16 كنت اعاني من التهاب صدرية و فقر دم عملت تحاليل و شربت دواء في بداية كانت تأتيني افكار وسوسة و كثير اشياء سلبية و بعد مدة من شرب دواء اختفى كل شئ و اصبحت لا احس بشئ فجأة رغم اني اشعر بعوامل خارجية و لكن داخلي لا احس بشئ و كان عقلي فارغ و بدون افكار رغم انو ما كان عندي شي قبل مرض بليز,يمكنك المتابعة مع طبيب نفسي من أجل التشخيص
"ما هو الفرق بين الرهاب الاجتماعي ومتلازمة اسبرجر
كيف أستطيع التمييز بينهما؟","عزيزي.
يوجد الكثير من الفروقات وكل اضطراب ينتمي لتصنيف طبي نفسي مختلف فالرهاب يقع من ضمن الاضطرابات المنتميه عموما للتوتر والقلق وله اشتراطات تشخيصيه وطرق علاج خاصه بها.
اما متلازمة اسبرجر (وإن كانت حاليا تصنف من ضمن اضطراب طيف التوحد ولا تتواجد كتسميه مرضيه منفصله) فهي تنمتمي للاضطرابات النمائيه العصبيه وتختلف بتشخيصها واسبابها وطرق علاجها... الخ.
وهذه عُجاله مختصره جدا وللاستزاده فقد ترجع لمصادر طبيه ولكن موثوقه.
لك تحياتي"
ظهرت لدى اعراض مثل الشعور بثقل ف المخ و العيون وخمول وارهاق دائم واحيانا ضيق تنفس و مخى مزدحم بافكار لا ارادية و تشتت ف التركيز والانتباه مع خوف شديد وجفاف ف العيون وارى العالم متبدد وكأنى فى حلم كشفت واخذت Bedremine 100 لمدة 3 شهر ومفيش نتيجة و حاليا اخذ Venllamash 150 و Bedremine 50 و olazorix 5,"سلامتك.
تابع مع طبيبك المعالج وناقشه حول كل هذه التساؤلات فهو من لديه تفاصيل حالتك الصحيه بشكل شامل ودقيق
راجيا لك وافر الصحه والمعافاة"
"اشعر ببرد شديد على الرغم من ان الاجواء حارة
صداع ، فقدان شهية ، الجسم تعبان العضلات و الاعصاب
نوم متقطع بعد ان كنت انام مرة واحدة في اليوم
دوخة فجأة","سلامتك.
اشجعك علي الإقلاع عن هاتين العادين.
غالب هذه الأعراض الاي ذمرتها لا تتعلق بالاقلاع عن ما ذكرت.
فترك التدخين يزيد الشهيه ويحسن النوم.
ان استمرت هذه الأعراض فالأولى ان تراجع طبيب الاسره ليقيم وضعك الصحي ويقدم المشوره
راجيا لك الصحة والعافية"
"السلام عليكم
أنا عندي وسواس قهري وأتناول دواء سيروكسات بجرعة ٢٥ ملجم صباحا و١٢.٥ ملجم مساءا
أجد صعوبة في النوم فقد أبقى أكثر من ساعة أحاول النوم ولا أستطيع ولكن أنام سبع أو ثمان ساعات ومع ذلك أجد صعوبة في الاستيقاظ من النوم مع أني كنت أكتفي ب ٦ ساعات قبل أن أتعاطى الدواء فما الحل","سلامتك
ارجو استشارة طبيبك المعالج بهذا الشأن لاستثناء اسباب تتعلق بحالتك الصحيه او عاداتك اليوميه او بالعلاج الموصوف.
راجيا لك المعافاة"
"وصفتلى دكتورة دواء tegretol مع slrdalud باخد منه نص حبه بقالى اسبوع واحد مع العلم انا مش مريضة نفسية عندى بس بسبب ضيق ف القناه العصبيه ف ظهري
مع دواءtrenta 400 SR حبه واحدة يوميا والعلاج مش له اى تأتير وبتألم كل يوم من الوجع
عاوزة اوقف العلاج دا ينفع اوقفه عادى ولا بالتدريج وازاى الطريقة؟؟","سلامتك.
حتى يقدم الطبيب الاستشاره بشكل آمن ودقيق يحتاج الأمر لمعرفة تفاصيل الحاله والفحص المباشر.
الأفضل مناقشة ومراجعة طبيبك المعالح
راجيا لك وافر الصحه والمعافاة"
منذ رمضان الماضي وانا اعاني من خوف و نوبات هلع شديدة و الان ازدادت حالتي كتيرا اشعر بالم في المعدة و جهة اليسرى لصدر نغز في القلب والضهر،تنمل الايد و الارجل،لا اعرف ماذا افعل.,"سلامتك.
العمل الاسلم هو مراجعة طبيب نفسي بشكل شخصي ليقيم حالتك ويساعدك في تقديم المشوره والمعالجه ان لزم الامر
راجيا لك الصحة والسعاده"
"انا اعاني من فرط التفكير المستمر الى حدٍ كبير واعاني من تشتت الأنتباه إلىٰ درجة كبيرة واشعر كأن رأسي مجمد بالكامل لأستطيع التفكير بوضوح ولاأتخاذ اي قرار لم ازر
طبيب من قبل","سلامتك
في الغالب معظم ما ذكرت من شكوى تتماشى وإضطراب التوتر العام (القلق)
فإن كانت لديك هذه الأعراض منذ مدة ليست بالقصير ه وبلا ضغوطات حياتيه وتؤثر عليك سلبيا فالأفضل ان تزور طبيبا نفسيا لمزيد من الدقه التشخيصيه العلاجيه ان لزم الأمر.
راجيا لك وافر الصحه والسعاده"
بأخد لوسترال و الدكتور وصف لي تليفاست بسبب دور برد اعاني منه حاليا هل يوجد تعارض بينهم و خطوره اذا تناولت لوسترال مع تليفاست,"سلامتك
الأفضل أن تتوجه بالاستفسار والاستشاره من طبيبك المعالج
فالتليفاست قد يسارع نبضات القلب ويقد يرفع قليلا ضغط الدم"
انا شاب عمري 27سنة في طفولتي كانوا اهلي يعاملوني معاملة الأنثى وكنت العب العاب أنثى والبس الفساتين لكنهم لم يحركوا ساكنا استغلوني في أعمال البيت حتى اخوتي. كبرت واكتشفت اني مثلي الجنس و اعاني من الاكتئاب والرهاب الاجتماعي.حاولت العلاج النفسي لم استطع الى الان التخلص من هذه المشاكل الومهم جدا ما الحل,"سلامتك.
تابع المعالجه النفسيه وحاول ان تستشير معالجا آخر احيانا المعالجات تاخذ وقتا
راجيا لك الصحة والتوفيق"
تمسكني حالة لا اعرف ماهي تضعف نفسيتي ثم لا اقدر على رؤية الناس واسمع كلامهم كانه في مخي واتذكر المواقف السيئة وتزداد ضربات قلبي وافضل في هاته الحالة عدم رؤية الناس ويزداد جسمي سخونة وابقى لوحدي في الغرفة وانا فسرت ذلك على أنه هلوسة تمسكني وتذهب احس فيها وكأنني سوف اجن كيف اتخلص منها فأنا مريض فصام,يمكنك المتابعة مع طبيب نفسي
أنا كنت أعاني من عدم الاستيعاب وعدم التركيز وبطء في الحفظ والنسيان السريع وبط في كل شيء في حياتي حتى أبسط الأمور ولكن عندما كبرت وخلال تلك الفترة ازداد الأمر سوءا للغاية وأصبح الأمر يشكل إرهاق وتعب شديد وحزن ليا حتي أصبحت عديمة الثقة بالنفس ومتشائمة جدا ولا اريد التعامل مع أي شخص.,"سلامتك.
تختلف القدرات الذهنيه من شخص لآخر في حدودها الطبيعيه وتؤثر عليها عوامل عديده منها العضوي ومنها النفسي وهذه هي الأهم وبخاصه التوتر او الانشغال لضغوطات نفسيه او الاكتئاب او غيره.
وقضية ملحوظاتك أنكِ كبرتي فانتي لا تزالين في مرحلة الشباب
.
فإن كانت هذه الأعراض تؤثر بشكل واضح عليكِ فلتراحعي طبيبا نفسيا ليقيم الحاله بشكل موضوعي ودقيق.
راجيا لكِ الصحة والتوفيق"
اعاني من نسيان وضعف التركيزوتفكيرمفرط ومش قادراعمله كنترول يسولف لي ويخطط ويحلل طول الوقت ونااشوف فلم وناأسولف مع شخص ونااستمع لشخص المهم مايوقف,يجب التأكد من عدم وجود مشاكل صحية تؤدي للنسيان، هناك أسباب عديدة للنسيان ومنها نفسية، لذلك يمكنك المتابعة مع معالج نفسي
"لدي اكتئاب واستمريت على اخذ علاج البروزاك والبديل له لمدة ٥الى ٦ سنوات بمقدار حبه باليوم بقوة ٢٠
وحاليا تم ايقافه بعد استشارة الطبيب ولي ٣الى٤ شهور تقريبا
لكن العصبيه والتوتر والقلق مرره زايده عندي هل يوجد طريقه للعوده للعلاج وكيف تكون الجرعه؟؟",اذا كان الاكتتاب رجع تعود إلى البروزاك ٢٠ مج كبسوله بعد الافطار ، واذا كنت تشكو من عصبية ونرفزه يبقى لازم يشوفك طبيب نفسي فورا
دكتور أنا عمري 24 سنة وعندي هلأ امتحانات تخرج واول يوم امتحانات قبل مافوت صابتني دوخة وصارت ايديي تنمل واجريي بشكل ماطبيعي بالامتحان وهالحالة لليوم معي صرلها 15 عملت تحليل دم ماطلع فيني شي ابدا قست ضغط اليوم طلع 13 وهل وهي طبيعي ام غير طبيعي وشو سبب الدوخة هل عامل نفسي او توتر تسبب هذه الدوخة وشكرا,"سلامتك.
ليس بمقدور الطبيب الجزم بالسبب عبر هذه العجاله من الشرح وبدون تفاصيل وفحص مباشر.
إلا انه وعلى الأغلب فإن منشأ هذه الأعراض توتريه وبسبب الضغط النفسي والقلق.
ولكن فيما لو استمرت هذه الأعراض او رافقتها اعراض اخرى فالأفضل مراجعة الطبيب للطمأنينه
راجيا لك وافر الصحه والعافيه والتوفيق"
بحس اني مش قد المسؤوليه وخايفه اكون مصابه بالفصام لانه عندنا وراثي وعندي اعراض زي العصبيه من غير سبب رغم اني هاديه اغلب الوقت وسوء الظن رحت دكتور نفساني وتعالجت بس مافب فايده,موش ضروري انك تتعبى بمرض الفصام لمجرد انه فيه وراثه فى العاءله انتى بتشتكى من مخاوف مرضيه وليس فصام لانه مريض الفصام لا يشعر عاده بالمرض انما اسرته هى التى تلاحظ المرض ، ومريض الفصام عاده يشكو من هلاوس سمعيه او بصريه مع تبلد فى المشاعر وافكار خاطئة بالاضطهاد او التاثير عليه من الاخرين بدون مبرر طبيعى انما هى افكار خاطئة لديه هو شخصيا ، ماتشكى منه انتى هى مخاوف مرضيه فقط وانصحك بالعلاج النفسي بواسطه طبيب نفسي متخصص حتى يمكن ان تتحسن حالتك ان شاء الله
اعاني من نخز في منطقة تحت الابط لصدر اليسار منذ اسبوع و خائفة لان تعود لمشاكل بالقلب من انه انا اتمرن و لا اعاني من اي امراض مزمنة و عمري ٢١ سنة عزباء لكن منذ صغري اعاني من القلق الشديد و الخوف,"سلامتك.
لا شك بان التوتر والقلق قد يسبب اعراضا جسديه ومنها الشد العضلي وغير ذلك
لا أعتقد أن هناك مبررا لقلقك ولكن في حال ظهور اعراض أخرى او استمرار الأعراض لا بأس من زيارة طبيب الاسره لمزيد من الطمأنينه"
